# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Sep 26 16:02:47 EDT 2022 [seed=27602]
# -beagle_scaling always -overwrite -threads 8 -beagle_SSE -beagle_opencl -beagle_instances 4 -seed 27602 -errors 1000 omicron_SC_EXP_lamda_500M_fixedclock_gamma.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	alpha	clock.rate	meanRate	copies.precision.col1	copies.varCovar.copies.precision.col1	copies.diffusionRate	copies.lambda	treeLikelihood	branchRates	copies.traitLikelihood	coalescent
2450000	-60420.08554758337	-696.2518077232428	-59723.83373986012	5.673977295227522	2016.8356117047724	83.46131661521206	3.3475167577280405	-0.8045039232168416	1.5690255338768182	0.008342101337690741	0.0011	0.0011000000000000029	0.0013086413436274526	764.1513122518943	4.0026048462701045	0.9993536165263676	-59370.55991734503	0.0	-353.273822515093	-685.5712979797439
2500000	-60379.2957751294	-696.2654095608691	-59683.030365568535	5.556320345042495	2016.9532686549576	83.73027376699123	3.450428982161099	-0.7665300022579584	1.6319454432954936	0.003964562038211504	0.0011	0.0010999999999999992	0.0010780305863227467	927.6174652994628	4.293749618872091	0.9998574908148647	-59334.19693737038	0.0	-348.833428198153	-684.123330322762
2550000	-60424.88866970321	-720.346012481579	-59704.54265722163	5.2230052546369246	2017.286583745363	85.23534203544263	4.001306174032079	-0.7557619914090397	1.5909249178879288	0.02056250208446	0.0011	0.0010999999999999992	0.0011437851256625403	874.2900896011806	4.016405169721557	0.9998574908148647	-59345.8395095855	0.0	-358.7031476361271	-708.0100232121528
2600000	-60429.58560841689	-717.9897295813405	-59711.59587883555	5.327427848782805	2017.182161151217	85.41696858345176	3.8527146760388002	-0.576953578642676	1.6260534756450853	0.008844340184934392	0.0011	0.0010999999999999996	0.0014426590116129784	693.1644913664946	3.79909918204835	0.9998574908148647	-59370.08249980206	0.0	-341.5133790334889	-705.5860803924245
2650000	-60417.620472197974	-716.4007618790524	-59701.219710318925	5.878301827098017	2016.631287172902	85.65527198315964	4.975106788719399	-0.34572035325675143	1.5565122952111723	0.007955839203215935	0.0011	0.0011000000000000005	0.0011134569216511721	898.1038965720163	4.443159030014135	0.9998574908148647	-59339.53769423425	0.0	-361.6820160846745	-703.903930052104
2700000	-60411.69716356374	-710.6268137834861	-59701.07034978025	5.497754571709099	2017.011834428291	85.55744715290196	4.58872603547641	-0.49462695757500796	1.7104530020069135	0.0073621196232213325	0.0011	0.0011000000000000003	0.001367361679780845	731.335399248775	3.6783601681939917	0.9998574908148647	-59361.63221366013	0.0	-339.4381361201235	-698.044187308638
2750000	-60411.70862954423	-712.3345633130443	-59699.37406623118	5.251171829273949	2017.258417170726	85.38290327042472	3.630772095034504	-0.6055977497086122	1.5084891497895996	0.024242548318339007	0.0011	0.0010999999999999994	0.0015602154022087214	640.9371414897894	3.6834963864885113	0.9998574908148647	-59374.75492876253	0.0	-324.6191374686519	-699.9685021668528
2800000	-60405.333039385856	-705.2115459594411	-59700.12149342641	5.606911647726957	2016.902677352273	83.5839989817815	3.64216612782326	-0.6290336471286708	1.611672526992168	0.05249734655164089	0.0011	0.0011	0.0016880091521420783	592.4138496115398	3.794500470975798	0.9998574908148647	-59374.9533348056	0.0	-325.16815862081154	-692.703552527118
2850000	-60412.88172296513	-703.9583374604855	-59708.92338550465	5.249972884478321	2017.2596161155218	83.3982403629893	3.051058457176371	-0.8102005069183131	1.5837875579045133	0.029132535078348683	0.0011	0.001100000000000001	0.0014221376385810422	703.1668193507375	3.7927393289235463	0.9997559482058977	-59370.50516263274	0.0	-338.4182228719073	-692.3075686572699
2900000	-60419.66701065217	-719.0043110168205	-59700.66269963535	5.923075175449697	2016.5865138245504	86.55446999009256	4.90604820840763	-0.29547830038061185	1.5396666619014918	0.011126858958492367	0.0011	0.001099999999999999	0.0010443784515397614	957.5073083188065	4.230188885114903	0.9997559482058977	-59350.757970104205	0.0	-349.9047295311452	-707.0925092614144
2950000	-60418.75216624696	-711.3854287357576	-59707.3667375112	5.61575761471926	2016.8938313852807	86.0814085779994	4.262440055699298	-0.405088464053178	1.479604883682568	0.03257992487483632	0.0011	0.0011000000000000014	0.0014167022747914107	705.8646109305047	3.82573533750408	0.9997559482058977	-59378.38330933437	0.0	-328.98342817682817	-699.4424189974354
